date;datatype;station;value;fl_m;fl_q;fl_so;fl_t
2019-04-29;TMIN;GHCND:NZM00093110;117;;;S;
2019-04-30;PRCP;GHCND:NZM00093110;25;;;S;
2019-04-30;TAVG;GHCND:NZM00093110;121;H;;S;
2019-04-30;TMAX;GHCND:NZM00093110;176;;;S;
2019-05-01;PRCP;GHCND:NZM00093110;0;;;S;
2019-05-01;TAVG;GHCND:NZM00093110;118;H;;S;
2019-05-01;TMAX;GHCND:NZM00093110;171;;;S;
2019-05-01;TMIN;GHCND:NZM00093110;64;;;S;
2019-05-02;PRCP;GHCND:NZM00093110;0;;;S;
2019-05-02;TAVG;GHCND:NZM00093110;154;H;;S;
2019-05-02;TMAX;GHCND:NZM00093110;184;;;S;
2019-05-02;TMIN;GHCND:NZM00093110;71;;;S;
2019-05-03;PRCP;GHCND:NZM00093110;0;;;S;
2019-05-03;TAVG;GHCND:NZM00093110;144;H;;S;
2019-05-03;TMAX;GHCND:NZM00093110;196;;;S;
2019-05-03;TMIN;GHCND:NZM00093110;106;;;S;
2019-05-04;PRCP;GHCND:NZM00093110;3;;;S;
2019-05-04;TAVG;GHCND:NZM00093110;135;H;;S;
2019-05-04;TMAX;GHCND:NZM00093110;197;;;S;
2019-05-05;PRCP;GHCND:NZM00093110;3;;;S;
